iter	Logloss
0	0.6820804986
1	0.6713498887
2	0.6609559804
3	0.6508261389
4	0.6410119265
5	0.6315118407
6	0.6222607442
7	0.6132752554
8	0.6045484075
9	0.5960616202
10	0.5878733291
11	0.5798948941
12	0.5721366478
13	0.5646046648
14	0.5572888829
15	0.5501561662
16	0.5432483042
17	0.5365573633
18	0.5300624695
19	0.5237464683
20	0.5176176444
21	0.511665675
22	0.5058855711
23	0.5002728961
24	0.4948699137
25	0.4896125001
26	0.4844607259
27	0.4794436676
28	0.4745967783
29	0.4699212859
30	0.4653698302
31	0.4609430387
32	0.4566331623
33	0.4524316894
34	0.4483707794
35	0.4444367868
36	0.4406080652
37	0.4368783203
38	0.4332679816
39	0.4297527725
40	0.4263456474
41	0.4230401541
42	0.4198205315
43	0.4167061873
44	0.4136828615
45	0.410734413
46	0.4078823768
47	0.4051116458
48	0.4024234044
49	0.3998161281
50	0.3972746993
51	0.3948079414
52	0.3924087034
53	0.3900693861
54	0.3878047964
55	0.3856087397
56	0.3834870525
57	0.3814168697
58	0.3793848942
59	0.3774151522
60	0.3755151147
61	0.373657446
62	0.3718675682
63	0.370102867
64	0.3683941835
65	0.3667286767
66	0.365116336
67	0.3635309119
68	0.3620112483
69	0.3605292326
70	0.3590918731
71	0.3576653182
72	0.3563114006
73	0.354991252
74	0.3537322942
75	0.3524485709
76	0.3512397089
77	0.3500582729
78	0.3489028595
79	0.3478122759
80	0.3467303309
81	0.3456661392
82	0.3446346568
83	0.3436564645
84	0.3426775367
85	0.3417240358
86	0.3407970372
87	0.3398935847
88	0.3390118808
89	0.3381579125
90	0.3373236961
91	0.3365080579
92	0.3357103625
93	0.3349368133
94	0.3341951516
95	0.3334612182
96	0.3327675022
97	0.3320757514
98	0.3314002274
99	0.3307404374
100	0.3300915489
101	0.3294583787
102	0.3288507156
103	0.3282612125
104	0.3276798258
105	0.3271183
106	0.3265737157
107	0.3260399348
108	0.3255495589
109	0.3250402426
110	0.3245546066
111	0.3240695043
112	0.3236093432
113	0.3231584973
114	0.322716163
115	0.3222705295
116	0.3218360802
117	0.3214404956
118	0.3210377765
119	0.3206369732
120	0.3202494054
121	0.3198708091
122	0.3194956107
123	0.3191520085
124	0.3188109571
125	0.3184750681
126	0.3181431332
127	0.3178075757
128	0.3174878403
129	0.3171798302
130	0.3168764746
131	0.3165826345
132	0.3163252467
133	0.3160438704
134	0.3157818512
135	0.3155307115
136	0.3152636585
137	0.3150127643
138	0.3147624322
139	0.3145203284
140	0.3142851712
141	0.3140479891
142	0.3138354978
143	0.3136081004
144	0.3133837259
145	0.3131819193
146	0.3129769524
147	0.3127597026
148	0.3125800473
149	0.3123846775
150	0.31220525
151	0.3120262317
152	0.3118478867
153	0.3116864159
154	0.3115184602
155	0.311349786
156	0.3111916793
157	0.3110425371
158	0.3108990371
159	0.3107392318
160	0.310599761
161	0.3104520483
162	0.3103312419
163	0.3102101676
164	0.3100741524
165	0.3099504108
166	0.3098241959
167	0.3096993001
168	0.3095743045
169	0.3094469042
170	0.3093330565
171	0.30920939
172	0.3090931799
173	0.3089695897
174	0.3088562485
175	0.3087370168
176	0.3086280379
177	0.3085270572
178	0.3084196765
179	0.3083232759
180	0.3082269798
181	0.3081252484
182	0.3080552115
183	0.3079623573
184	0.3078626248
185	0.3077742382
186	0.3076832342
187	0.3076026426
188	0.3075169231
189	0.3074341113
190	0.3073586913
191	0.3072776379
192	0.3072020585
193	0.3071301355
194	0.3070447516
195	0.306971885
196	0.3068810699
197	0.3068147644
198	0.3067473988
199	0.3066801996
200	0.3066306454
201	0.3065848341
202	0.3065186748
203	0.3064344177
204	0.3063728368
205	0.306311055
206	0.306254026
207	0.3061990184
208	0.3061350348
209	0.3060705966
210	0.3060046666
211	0.305948677
212	0.305889892
213	0.3058324103
214	0.3057745986
215	0.3057164992
216	0.3056558
217	0.3055979953
218	0.3055627976
219	0.3055110062
220	0.3054591391
221	0.3054083507
222	0.3053654231
223	0.3053171078
224	0.3052660085
225	0.3052166167
226	0.3051747265
227	0.3051406726
228	0.3050988034
229	0.3050522379
230	0.3049988632
231	0.3049517049
232	0.3049062543
233	0.3048630869
234	0.3048319271
235	0.3047939923
236	0.3047467775
237	0.3046954454
238	0.3046506227
239	0.3046104365
240	0.3045656821
241	0.3045256821
242	0.3044845857
243	0.3044543981
244	0.3044214052
245	0.304389825
246	0.3043565157
247	0.3043182594
248	0.30430444
249	0.3042690402
250	0.304232923
251	0.3041884146
252	0.3041525101
253	0.3041198704
254	0.3040914925
255	0.3040519899
256	0.3040069462
257	0.3039681746
258	0.3039368866
259	0.3039001057
260	0.303869291
261	0.3038298746
262	0.3037875943
263	0.3037582891
264	0.303727067
265	0.3036978385
266	0.3036741051
267	0.3036439545
268	0.3036096758
269	0.3035781365
270	0.3035404024
271	0.3035172701
272	0.3034914958
273	0.3034843258
274	0.3034528613
275	0.3034201651
276	0.303386894
277	0.3033609732
278	0.3033315155
279	0.3033053323
280	0.3032739174
281	0.303268593
282	0.3032462987
283	0.3032153253
284	0.3031835344
285	0.3031575447
286	0.3031296504
287	0.303120946
288	0.3030935989
289	0.3030670332
290	0.3030462006
291	0.3030153245
292	0.302981589
293	0.3029603704
294	0.3029221626
295	0.3028947618
296	0.3028679827
297	0.3028389627
298	0.3028169197
299	0.3027888635
300	0.3027623554
301	0.3027322694
302	0.3026983116
303	0.3026758271
304	0.3026522305
305	0.3026226454
306	0.3025995845
307	0.3025641409
308	0.3025471043
309	0.3025284066
310	0.3025062031
311	0.3024835685
312	0.3024566354
313	0.3024298854
314	0.3024020004
315	0.3023798764
316	0.3023562907
317	0.3023335905
318	0.3023156391
319	0.3022925954
320	0.3022718161
321	0.3022473103
322	0.3022229498
323	0.3022048621
324	0.3021729849
325	0.3021632659
326	0.3021353557
327	0.302099385
328	0.3020772206
329	0.3020518583
330	0.3020281525
331	0.3020248364
332	0.3020004415
333	0.3019757601
334	0.3019540394
335	0.3019288609
336	0.3018993643
337	0.3018735772
338	0.3018721594
339	0.3018501055
340	0.3018204587
341	0.3018018104
342	0.30177912
343	0.3017589081
344	0.3017560956
345	0.3017297803
346	0.3017049825
347	0.3016772675
348	0.3016572015
349	0.3016316505
350	0.3015996287
351	0.3015810599
352	0.3015650453
353	0.3015307107
354	0.3015006177
355	0.3014789931
356	0.3014532047
357	0.3014341253
358	0.3014129623
359	0.3013948292
360	0.3013646022
361	0.3013311286
362	0.3013111178
363	0.3012941752
364	0.3012666629
365	0.3012514942
366	0.3012261792
367	0.3012008854
368	0.3011794603
369	0.3011592121
370	0.3011341344
371	0.3011022131
372	0.3010866029
373	0.3010632547
374	0.3010408093
375	0.301019098
376	0.3009992093
377	0.3009646825
378	0.3009309601
379	0.3009091746
380	0.3008879799
381	0.3008647313
382	0.3008468536
383	0.3008283519
384	0.3008105152
385	0.3007828409
386	0.3007587117
387	0.3007320371
388	0.3007049829
389	0.3006808189
390	0.3006522574
391	0.3006275654
392	0.3005953923
393	0.3005753319
394	0.3005598271
395	0.3005403157
396	0.3005127276
397	0.3004919917
398	0.3004732985
399	0.3004543995
400	0.3004302891
401	0.3004051161
402	0.3003806807
403	0.3003537992
404	0.3003355695
405	0.300321677
406	0.3003060692
407	0.300298629
408	0.3002849934
409	0.3002578927
410	0.3002512364
411	0.3002298148
412	0.3002172249
413	0.3001951421
414	0.3001852513
415	0.3001600542
416	0.3001431045
417	0.3001181408
418	0.3000931573
419	0.3000811351
420	0.3000542147
421	0.3000292449
422	0.30000676
423	0.2999880581
424	0.2999643654
425	0.2999470503
426	0.2999241051
427	0.299923944
428	0.2999024554
429	0.2998811973
430	0.2998493138
431	0.2998261563
432	0.2998017098
433	0.2997947657
434	0.2997749807
435	0.2997573382
436	0.2997383708
437	0.2997355483
438	0.2997057731
439	0.2996893893
440	0.2996610848
441	0.2996444385
442	0.2996343878
443	0.2996111773
444	0.299584294
445	0.2995714492
446	0.2995545121
447	0.2995388543
448	0.2995181958
449	0.2995006134
450	0.2994781
451	0.2994622396
452	0.2994353468
453	0.2994337684
454	0.2994079369
455	0.2993962484
456	0.299374327
457	0.2993556478
458	0.2993404795
459	0.2993164446
460	0.299301617
461	0.2992745969
462	0.2992576654
463	0.2992305791
464	0.2991998906
465	0.2991748429
466	0.2991522271
467	0.2991387631
468	0.2991136476
469	0.2990893244
470	0.2990802221
471	0.2990608136
472	0.299041644
473	0.2990233545
474	0.2989921926
475	0.2989728746
476	0.298955623
477	0.2989363724
478	0.2989178269
479	0.2989002477
480	0.2988774459
481	0.2988555466
482	0.2988281709
483	0.2988014788
484	0.2987854706
485	0.2987665479
486	0.2987434056
487	0.2987247241
488	0.2987079869
489	0.2986881069
490	0.2986601608
491	0.2986427801
492	0.2986201036
493	0.2985963744
494	0.2985853697
495	0.2985845133
496	0.2985614895
497	0.2985353091
498	0.298513029
499	0.2984947058
500	0.2984686375
501	0.2984532091
502	0.298430914
503	0.298417321
504	0.2984014484
505	0.2983711802
506	0.2983541823
507	0.2983317532
508	0.2983182882
509	0.2982969186
510	0.2982841516
511	0.2982706794
512	0.2982426467
513	0.2982246453
514	0.2982042017
515	0.2981845963
516	0.2981561987
517	0.2981371548
518	0.2981180069
519	0.2981020882
520	0.2980952334
521	0.2980761075
522	0.298050987
523	0.2980436909
524	0.298024083
525	0.2979990878
526	0.2979732007
527	0.2979545067
528	0.2979313067
529	0.2979102232
530	0.2978968007
531	0.2978862
532	0.2978650911
533	0.2978483567
534	0.2978275208
535	0.2978143184
536	0.2978085928
537	0.2977845584
538	0.2977638831
539	0.2977394626
540	0.2977091169
541	0.2976887196
542	0.297670259
543	0.2976505296
544	0.2976313828
545	0.2976156552
546	0.2975996426
547	0.2975765692
548	0.297565178
549	0.2975452739
550	0.2975284561
551	0.2975071547
552	0.2974884525
553	0.2974667034
554	0.2974488274
555	0.2974363372
556	0.297412871
557	0.297394442
558	0.2973736522
559	0.2973532439
560	0.2973218383
561	0.2972982008
562	0.2972842723
563	0.2972800066
564	0.297249074
565	0.2972202444
566	0.2971946719
567	0.2971762
568	0.2971620226
569	0.2971393519
570	0.2971114244
571	0.2970885442
572	0.2970671502
