iter	Passed	Remaining
0	3	31802
1	7	35400
2	10	36634
3	14	35590
4	17	35826
5	21	35363
6	25	35997
7	28	35168
8	32	35859
9	35	35097
10	39	35685
11	43	36410
12	49	38165
13	55	39469
14	58	39139
15	65	40565
16	71	41879
17	78	43299
18	85	44930
19	93	46587
20	100	47544
21	108	49398
22	112	48940
23	119	49593
24	124	49752
25	130	50025
26	136	50589
27	142	50619
28	145	50045
29	149	49653
30	154	49763
31	158	49340
32	163	49432
33	168	49252
34	172	48994
35	177	49207
36	182	49247
37	189	49617
38	193	49537
39	199	49697
40	202	49291
41	206	49067
42	210	48714
43	213	48303
44	216	47894
45	219	47564
46	223	47286
47	226	47054
48	230	46814
49	233	46538
50	238	46441
51	242	46387
52	245	46136
53	248	45853
54	252	45620
55	256	45460
56	261	45614
57	266	45599
58	269	45414
59	273	45242
60	276	45025
61	280	44984
62	284	44821
63	287	44688
64	291	44532
65	294	44374
66	298	44306
67	301	44097
68	304	43893
69	308	43706
70	312	43671
71	315	43485
72	318	43360
73	322	43241
74	326	43205
75	330	43113
76	333	42981
77	336	42840
78	339	42685
79	343	42566
80	346	42444
81	349	42305
82	353	42225
83	356	42093
84	360	42077
85	364	41997
86	367	41886
87	371	41795
88	374	41723
89	378	41660
90	381	41579
91	385	41491
92	388	41366
93	391	41263
94	395	41230
95	398	41146
96	402	41081
97	405	41008
98	409	40970
99	413	40928
100	416	40851
101	420	40786
102	423	40663
103	426	40621
104	430	40604
105	434	40558
106	438	40577
107	442	40527
108	446	40483
109	450	40472
110	453	40372
111	456	40313
112	459	40231
113	463	40192
114	467	40142
115	471	40164
116	475	40126
117	478	40032
118	481	40007
119	485	39949
120	489	39952
121	492	39856
122	496	39830
123	498	39741
124	502	39733
125	505	39630
126	509	39645
127	514	39664
128	517	39614
129	521	39611
130	525	39577
131	528	39529
132	532	39512
133	536	39497
134	539	39456
135	543	39418
136	546	39377
137	550	39343
138	553	39301
139	557	39293
140	561	39264
141	564	39201
142	568	39174
143	572	39162
144	576	39177
145	579	39119
146	583	39088
147	587	39092
148	590	39041
149	593	38970
150	597	38976
151	600	38931
152	604	38883
153	607	38845
154	610	38801
155	614	38752
156	617	38698
157	620	38678
158	624	38637
159	627	38611
160	631	38564
161	634	38538
162	637	38496
163	642	38506
164	646	38510
165	649	38462
166	653	38469
167	657	38466
168	660	38435
169	663	38384
170	667	38359
171	670	38327
172	674	38300
173	677	38236
174	680	38215
175	683	38172
176	687	38148
177	690	38099
178	693	38065
179	696	38018
180	700	38023
181	703	37973
182	708	37982
183	712	38034
184	716	38013
185	720	38004
186	723	37974
187	727	37976
188	731	37960
189	734	37935
190	738	37934
191	742	37916
192	745	37906
193	749	37880
194	753	37862
195	756	37859
196	760	37821
197	763	37797
198	767	37791
199	770	37777
200	774	37752
201	777	37736
202	781	37706
203	784	37676
204	788	37661
205	791	37616
206	795	37611
207	798	37583
208	801	37534
209	805	37531
210	808	37514
211	811	37488
212	815	37454
213	818	37450
214	822	37430
215	825	37405
216	829	37388
217	832	37352
218	836	37346
219	840	37342
220	843	37302
221	846	37285
222	850	37291
223	853	37265
224	857	37252
225	860	37216
226	864	37204
227	866	37155
228	870	37155
229	874	37150
230	877	37126
231	881	37096
232	884	37064
233	888	37086
234	892	37079
235	896	37071
236	899	37066
237	903	37039
238	906	37010
239	909	36988
240	912	36959
241	916	36949
242	919	36934
243	923	36911
244	926	36892
245	930	36897
246	934	36879
247	937	36872
248	940	36830
249	944	36824
250	947	36799
251	950	36766
252	953	36735
253	956	36715
254	960	36700
255	963	36686
256	967	36682
257	971	36688
258	974	36665
259	978	36648
260	981	36624
261	984	36589
262	988	36580
263	991	36550
264	994	36551
265	998	36532
266	1001	36495
267	1005	36498
268	1008	36473
269	1011	36459
270	1014	36432
271	1017	36397
272	1021	36402
273	1025	36389
274	1028	36379
275	1032	36366
276	1035	36342
277	1039	36337
278	1042	36320
279	1046	36312
280	1048	36279
281	1052	36268
282	1055	36248
283	1059	36261
284	1063	36247
285	1066	36229
286	1069	36190
287	1073	36189
288	1076	36159
289	1080	36166
290	1083	36136
291	1086	36114
292	1089	36091
293	1093	36100
294	1096	36086
295	1100	36075
296	1104	36073
297	1107	36063
298	1111	36047
299	1114	36032
